error1,error2
0.014064201192539488,0.01146992654737902
0.007750576992005886,0.044499172065124416
0.006941683117575736,0.06375685422772408
0.002486587302212693,0.05664583592561152
0.015633741611420626,0.024443362828757243
0.015633741611420626,0.015062568755938678
0.015633741611420626,0.0052610922623632095
0.00570769609138489,0.00772154073443188
0.00011512660992313947,0.011183538838222788
0.010377523281787237,0.0006737514402168991
0.02183381359324854,0.013631840104385362
0.007807385808827866,0.024508490582696104
0.007807385808827866,0.011215925461744167
0.007807385808827866,0.001275554608615046
0.020656638306331954,0.003622123556571054
0.001016187913183608,0.00158581638071597
0.0017155795796163476,0.03041466249981756
0.011376398187704617,0.01888060169695767
0.008330173221812074,0.00023210734188702542
0.008330173221812074,0.03218551401470588
0.008330173221812074,0.001816718222441457
0.0013498883313278589,0.0034735201997343986
0.02100433425946271,0.0014964138854049438
0.009532018818095513,0.008226495614005536
0.0029582980353838493,0.007624437888214808
0.0008107436434308742,0.006799674080529477
0.0008107436434308742,0.011909933825917709
0.0008107436434308742,0.005532309936861776
0.0015236821150481895,0.004138042737377452
0.005334001254827765,0.0118257817271015
0.010226765316283873,0.0029089329274934995
0.01573641239096784,0.036180586783263434
0.009810850669076552,0.009997669521053937
0.009810850669076552,0.007512941359892325
0.009810850669076552,0.01489160495469699
0.012867582885518787,0.0022925749634023778
0.005312191473043101,0.00042086023893158676
0.0039863836577994395,0.01120331660558946
0.003029826442432842,0.000933575984302995
0.002811765303528598,0.004912024843376758
0.002811765303528598,0.006285194315047658
0.002811765303528598,0.0020296302075017507
0.0057835119475787445,0.0023224961067235517
0.00568707345083659,0.007247480458407911
0.029214287722431242,0.0015246422200769626
0.01043340166289874,0.003833199754295447
0.007192334830898911,0.013054438507797424
0.007192334830898911,0.00020063267247197547
0.007192334830898911,0.0031175491361502814
0.006500533349405109,0.002315057858285071
0.009995474733090821,0.035610449882512496
0.0013700223125140208,0.01605909250600611
0.0026344077138390977,0.07097095933136974
0.006208231180844574,0.014284222911546433
0.006208231180844574,0.006655459729714614
0.006208231180844574,0.000611200102471345
0.006208231180844574,0.03043568343976898
0.006208231180844574,0.0014838611255180878
0.013058760047494086,0.028210948160124774
0.014281099406261256,0.013539279948702979
0.0052710974791291935,0.002865382760582576
0.0052710974791291935,0.034104369192546925
0.0052710974791291935,0.017729369659125485
0.0052710974791291935,0.007677895229820578
0.013246236916255011,0.09341560382969262
0.012432061252284653,0.11624364893794781
0.00024214336610490835,0.10992451443627532
0.0032986432292958245,0.12183338651681305
0.0032986432292958245,0.03856482413942558
0.0032986432292958245,0.0011211595310267799
0.010098400694840769,0.00982150668377211
